"","struct.summ.site_unique","struct.summ.site_location_name","struct.summ.site_location_visit_id","struct.summ.phenology_comment","struct.summ.upper_1_dominant","struct.summ.upper_2_dominant","struct.summ.upper_3_dominant","struct.summ.mid_1_dominant","struct.summ.mid_2_dominant","struct.summ.mid_3_dominant","struct.summ.ground_1_dominant","struct.summ.ground_2_dominant","struct.summ.ground_3_dominant","struct.summ.description","struct.summ.mass_flowering_event"
"466","QDABBS0007-58711","QDABBS0007",58711,"NC","QDA025167","None","None","QDA025209","QDA025167","QDA025133","QDA025203","QDA025157","QDA025175","Eucalyptus populnea woodland with mid-story of Opuntia tomentosa (Velvety Tree pear) , Acacia stenophylla and juvenile E. populnea. Ground layer mostly grasses of Dichanthium sericeum subsp. sericeum, Panicum queenslandicum,  Enteropogon ramosus, Holcolemma dispar and some forbs including Phyla canescens.",FALSE
"467","QDACYP0019-58604","QDACYP0019",58604,"NC","None","None","None","QDA013833","QDA013849","QDA013831","QDA013861","QDA022047","None","Thryptomene oligandra low woodland to mid open shrubland with  Leucopogon sp., Neofabricia myrtifolia and Melaleuca saligna.  A ground layer dominated by sedges- Dapsilanthus spathaceus and Dapsilanthus ramosus",TRUE
"468","QDASEQ0003-58961","QDASEQ0003",58961,"Climate response is wet with significant rain in last week and previous day (up to 300mm). Vegetation response is active growth, some fruit in Lomandra longifolia, Lantana camara and Asparagus aethiopicus 'Sprengeri""","QDA028076","QDA026303","QDA026285","QDA028076","QDA026253","QDA028086","QDA026227","QDA026231","QDA026241","Corymbia intermedia / Eucalyptus crebra mid woodland (20-25m). A lower upper storey dominated by Acacia disparrima subsp. disparrima with Jagera pseudorhus var. pseudorhus and Alphitonia excelsa. A sparse mid storey dominated by Psychotria loniceroides with juvenile Acacia disparrima subsp. disparrima ( 1m). A ground storey dominated by Lomandra longifolia with Arundinella nepalensis and  Asparagus aethiopicus 'Sprengeri' (0.2m)",FALSE
"469","QDABBS0004-58726","QDABBS0004",58726,"NC","QDA024445","QDA024285","None","QDA024269","QDA024285","QDA024279","QDA024479","QDA024429","QDA024453","Eucalyptus orgadophila woodland with an open mid-storey of Jasminum simplicifolium subsp. australiense and Jasminum didymum subsp. lineare . Ground storey in a grassland of Panicum queenslandicum , Cymbopogon refractus, Themeda triandra and Abildgaardia ovata.",FALSE
"470","VCAAUA0005-58570","VCAAUA0005",58570,"NC",NA,"-1","-1","-1","-1","-1","VCA005427","None","None","Poa hiemata low tussock grassland with Celmisia pugioniformis and Leptorhynchos squamatus subsp. alpinus to an Asterolasia trymalioides subsp. trymaliodes. A diverse range of other forbs.",FALSE
"471","NTABRT0005-58863","NTABRT0005",58863,"The climate is dry and the vegetation response is dry. However, Goodenia armitiana are flowering and the Aristida holathera var. holathera and Eragrostis eriopoda subsp. sandy fireweed are predominantly green.","NTA025652","None","None",NA,"None","None","NTA025438","NTA025460","NTA025563","Triodia pungens low sparse hummock grassland with Aristida holathera var. holathera, and Yakirra australiensis var. australiensis.  Scattered emergent Corymbia opaca.  A few scattered shrubs through the mid-storey including Acacia melleodora, Acacia murrayana, Acacia sericophylla, Hakea divaricata and Hakea macrocarpa. Average height for the Corymbia is 10m and the tussock and hummock grasses are regenerating after fire so are about 20 cm high.
",FALSE
"472","NTABRT0005-53620","NTABRT0005",53620,"Annual forbs including Goodenia armitiana, Scaevola parvifolia Crotalaria eremaea all flowering. Triodia schinzii  has seed pods but have shed. Aristida holathera have seed.","","","","","","","NTA 001363","NTA 001354","NTA 001374","Triodia schinzii low open hummock grassland with Paraneurachne muelleri, Eragrostis eriopoda subsp. red earth and Aristida holathera. Scattered emergent Corymbia opaca.",FALSE
"473","SATSTP0007-58637","SATSTP0007",58637,"NC","SAT006067","None","None","None","None","None","SAT006075","SAT006061","None","Eucalyptus coolabah low open woodland with no mid stratum. A very sparse ground stratum dominated by Heliotropium supinum with isolated Verbena supina",FALSE
"474","SATSTP0007-53515","SATSTP0007",53515,"","SAT  002546","","","","","","SAT  002564","SAT  002558","","Eucalyptus coolabah low open-woodland with sparse mid-stratum of Eucalyptus coolabah and isolated Duma coccoloboides and sparse ground stratum of Trigonella suavissima and  Verbena officinalis.",FALSE
"475","SATFLB0001-58672","SATFLB0001",58672,"NC","SAT005888","SAT005972","SAT008038","SAT008419","SAT005996","SAT005888","SAT008993","SAT008044","SAT008992","Callitris gracilis / Eucalyptus fasciculosa low open forest with Allocasuarina verticillata . A mid stratum of Calytrix tetragona, Hysterobaeckea behrii and Callitris gracilis. Ground stratum sparse- Aira cupaniana, Arthropodium strictum and Millotia tenuifolia var. tenuifolia. ",TRUE
"476","SATFLB0001-53698","SATFLB0001",53698,NA,"SAT 000001","SAT 000002","SAT 000001","SAT 000005","SAT 000003","SAT 000004",NA,NA,NA,"Callitris gracilis / Eucalyptus fasciculosa low open forest with Allocasuarina verticillata . A mid stratum of Astroloma conostephioides and Babingtonia behrii. Ground stratum sparse- Drosera auriculata prominent as well as some grass cover. ",FALSE
"477","NSANSS0001-58579","NSANSS0001",58579,"NC","NSA014679","NSA014715",NA,"-1","-1","-1","NSA014729","NSA014635","NSA014637","Eucalyptus blakelyi mid open forest with Eucalyptus blakelyi hybrid, Eucalyptus macrorhyncha and Eucalyptus melliodora . Minimal mid stratum. Ground layer dominated by Carex sp. with Lomandra longifolia and Gahnia aspera",FALSE
"478","QDASSD0003-58908","QDASSD0003",58908,"Nothing in flower, some Triodia basedowii has evidence of seed heads no sign of flowering or seed and starting to dry with curled flag shapes at the top.","QDA023397","QDA023449","None","QDA023449","QDA023456","QDA023451","QDA023431","QDA023433","QDA023443","Upper stratum dominated by Acacia georginae and Acacia aneura shrubland. Mid stratum of Acacia aneura, Senna artemisioides subsp. alicia and Eremophila longifolia shrubland. Ground stratum of Aristida contorta, Ptilotus polystachyus and Sida sp. tussock grassland



",FALSE
"479","QDASSD0003-58682","QDASSD0003",58682,"NC","-1","-1","-1","-1","-1","-1","-1","-1","-1","",FALSE
"480","QDASSD0003-56912","QDASSD0003",56912,"","QDA  007075","","","","","","QDA  007109","QDA  007134","","Acacia georginae low open woodland with a Triodia basedowii hummock grass understratum with Enchylaena tomentosa var. tomentosa. Mid stratum of scattered Acacia ligulata shrubs.",FALSE
"481","NSABHC0003-53598","NSABHC0003",53598,NA,NA,NA,NA,NA,NA,NA,"NSA00433","NSA00374","NSA00368","Atriplex vesicaria, Maireana pyramidata, Sclerolaena ventricosa low open Chenopod shrubland.",FALSE
"482","VCAAUA0010-58546","VCAAUA0010",58546,"NC","-1","-1","-1","-1","-1","-1","-1","-1","-1","Celmisia pugioniformis/  Leptorhynchos squamatus subsp. alpinus low forbland to Poa fawcettiae low tussock grassland with some Rytidosperma nudiflorum.  Isolated, scattered Hovea montana and other heath shrubs.",FALSE
"483","SATSTP0005-58639","SATSTP0005",58639,"NC","None","None","None","SAT006369","SAT006351","None","SAT006181","None","None","Acacia ligulata / Dodonaea viscosa subsp. angustissima low sparse shrubland. A lower mid stratum of chenopods dominated by Enchylaena tomentosa var. tomentosa with Salsola australis and  Rhagodia spinescens.  A ground stratum dominated by Zygochloa paradoxa with isolated Trichodesma zeylanicum var. zeylanicum and Aristida holathera var. holathera. No upper stratum.",FALSE
"484","SATSTP0005-53513","SATSTP0005",53513,"Very little grass growth but a lot of forbs flowering, indicating winter rain. ","","","","SAT  002254","","","SAT  002270","SAT  002260","SAT  002344","Dodonaea viscosa subsp. angustissima mid sparse shrubland with  Acacia ligulata. A ground stratum of Zygochloa paradoxa, Polycalymma stuartii and Enchylaena tomentosa with scattered Aristida holathera on dune.",FALSE
"485","SATSTP0003-53511","SATSTP0003",53511,NA,NA,NA,NA,NA,NA,NA,"SAT  002016","SAT  002058",NA,"Eragrostis setifolia low sparse tussock grassland with Calotis hispidula and scattered Astrebla pectinata.",FALSE
"486","SATSTP0003-58638","SATSTP0003",58638,"NC","None","None","None","SAT006151","None","None","SAT006141","SAT006167","SAT006129","Eragrostis xerophila / Eragrostis setifolia tussock grassland with Astrebla pectinata. Few scattered shrubs of Eremophila duttonii and Maireana pyramidata
",FALSE
"487","SAAFLB0030-58617","SAAFLB0030",58617,"NC","None","None","None","None","None","None","SAA007133","SAA007105","SAA00711","Atriplex vesicaria, Maireana pyramidata and Maireana astrotricha low mixed sparse chenopod shrub land. Ground story dominated by Enneapogon avenaceus and Enneapogon cylindricus with other forbs and grasses.",FALSE
"488","SAAFLB0030-57075","SAAFLB0030",57075,"NC","-1","-1","-1","-1","-1","-1","BS 720002","BS 720003","BS 720008","Maireana astrotricha / Atriplex vesicaria low open chenopod shrubland with ground stratum of Enneapogon spp., Sclerolaena spp. and forbs.",FALSE
"489","SAAFLB0030-53506","SAAFLB0030",53506,"","","","","","","","SAA  003035","SAA  003041","SAA  003055","Maireana astrotricha / Atriplex vesicaria / Sclerolaena constricta low sparse chenopod shrubland.",FALSE
"490","QDASSD0013-58929","QDASSD0013",58929,"Dry no recent big rains, dominant grasses have hayed off. Aristida holathera has a little bit of green at the bases.","QDA023119","QDA023121","None","QDA023112","QDA023125","QDA023100","QDA023096","QDA023106","QDA023114","Upper stratum dominated by Acacia sibirica and Hakea eyreana shrubland. Mid stratum of Eremophila latrobei, Senna artemisioides and Senna artemisioides subsp. oligophylla shrubland. Ground stratum dominated by Aristida holathera, Eriachne aristidea and Fimbristylis dichotoma tussock grassland
",FALSE
"491","QDASSD0013-58692","QDASSD0013",58692,"NC","-1","-1","-1","-1","-1","-1","-1","-1","-1","",FALSE
"492","QDASSD0013-56922","QDASSD0013",56922,"","","","","QDA  007773","","","QDA  007811","","","Acacia sibirica mid open shrubland with an Aristida holathera var. holathera and Eragrostis sp. tussock grass understratum, isolated emergent Corymbia terminalis and a sparse mid stratum of Eremophila latrobei subsp. glabra and Hakea eyreana scattered through the site. ",FALSE
"493","QDASSD0008-58687","QDASSD0008",58687,"NC","-1","-1","-1","-1","-1","-1","-1","-1","-1","",FALSE
"494","QDASSD0008-56917","QDASSD0008",56917,"Dry, vegetation response is active vegetation growth. Forbs and grasses still green.","","","","QDA  007423","","","QDA  007417","","","Grevillea stenobotrya mid sparse shrubland with dense Triodia basedowii hummock grass understratum. Mix of other forbs and small shrubs including Sida fibulifera, Sida trichopoda and Eremophila macdonnellii. A few other shrubs including Acacia melleodora. ",FALSE
"495","NSAMUL0003-58550","NSAMUL0003",58550,"NC","NSA014308","None","None","NSA014372","NSA014384","NSA014306","NSA014290","None","None","Eucalyptus populnea low woodland. Mid layer is dominated Eremophila sturtii and Eremophila deserti. Ground layer is very sparse- mostly chewed grasses.",FALSE
"496","WAAVIB0001-59006","WAAVIB0001",59006,"Climate response is dry.
Vegetation response is dry. Annual forbs and tussock grasses dried out. All grasses have dropped seed. Cucumis sp. dried with fruit.
","None","None","None","WAA022856","WAA022878","None","WAA022842","WAA022890","WAA022860","Ground stratum dominated by Chrysopogon fallax, Dichanthium fecundum and Panicum decompositum (~0.4m) tussock grassland. Sparse upper stratum including low Atalaya hemiglauca and an individual Eucalyptus sp. Other forbs and Cucumis sp. present.",FALSE
"497","WAAVIB0001-58494","WAAVIB0001",58494,"NC","-1","-1","-1","-1","-1","-1","WAA  007180","WAA  007170","WAA  007164","Chrysopogon sp. (most likely C. fallax) low tussock grassland with Dichanthium fecundum and Panicum decompositum  with a few emergent Atalaya hemiglauca to 50cms. No mid or upper layer.",FALSE
"498","QDASSD0007-58906","QDASSD0007",58906,"NC","QDA023625","QDA023645","QDA023651","QDA023740","QDA023660","QDA023662","QDA023631","QDA023705","QDA023697","Upper stratum dominated by Eucalyptus coolabah and Acacia ligulata woodland. Mid stratum of Acacia spp. and Eremophila longifolia shrubland. Ground stratum dominated by mixed tussock grasses of Eulalia aurea, Aristida app. and Trachymene glaucifolia tussock grassland

",FALSE
"499","QDASSD0007-58686","QDASSD0007",58686,"NC","-1","-1","-1","-1","-1","-1","-1","-1","-1","",FALSE
"500","QDASSD0007-56916","QDASSD0007",56916,"Dry- very little fruiting and flowering. Isolated fruit on Eremophila longifolia shrubs, Eucalyptus coolabah has old fruit with seed shed. Eulalia aurea still has some green and seed heads. Aristida holathera still have some green material but most other forbs and grasses dry","QDA  007361","","","","","","QDA  007377","QDA  007541","","Eucalyptus coolabah low open woodland with a sparse mid stratum of shrubs mainly Eremophila longifolia and a Eulalia aurea tussock grassland understratum.",FALSE
"501","VCAAUA0002-58635","VCAAUA0002",58635,"NC","-1","-1","-1","-1","-1","-1","VCA005143","VCA005215","VCA005137","Poa hiemata low  tussock grassland to Celmisia pugioniformis low open forbland with significant cover of Asterolasia trymalioides subsp. trymalioides",FALSE
"502","SATFLB0028-58668","SATFLB0028",58668,"NC","SAT005408","SAT005266","None","SAT005398","SAT005200","None","SAT005426","SAT005178","SAT005198","Allocasuarina verticillata / Eucalyptus odorata low open woodland. A  mid stratum of Eremophila longifolia, Bursaria spinosa subsp. spinosa and Acacia pycnantha. Lower stratum dominated by Avena barbata with Dodonaea baueri, Leontodon rhagodioides and other forbs and grasses
",TRUE
"503","SATFLB0028-56995","SATFLB0028",56995,"NC","SAT  002744","SAT  002768","None","SAT  002798","SAT  002748","SAT  002826","SAT  002732","SAT  002848","SAT  002784","Eucalyptus odorata and Allocasuarina verticillata low open woodland (4-6m) with a mid stratum of Acacia pycnantha, Bursaria spinosa subsp. spinosa and Senna artemisioides subsp. x coriacea (0.6-3m).  Lower stratum dominated by Eutaxia microphylla, Lomandra multiflora, Avena barbata with many introduced annual grasses. ",FALSE
"504","SATFLB0010-58673","SATFLB0010",58673,"NC","SAT005070","None","None","SAT005088","SAT005112","SAT005162","SAT005064","SAT005146","SAT005030","Eucalyptus odorata Mallee woodland. Mid-storey consisting of Acacia hakeoides , Acacia pycnantha and Alectryon oleifolius subsp. canescens. Shrub layer of Rhagodia parabolica ,Cassinia laevis, Enchylaena tomentosa var. tomentosa and Exocarpos aphyllus.
",FALSE
"505","SATFLB0010-53714","SATFLB0010",53714,NA,"SAT 000535",NA,NA,"SAT 000552","SAT 000550","SAT 000556",NA,NA,NA,"Eucalyptus odorata mid open Mallee forest. Mixed mid stratum of chenopods and other shrubs dominated by Rhagodia paradoxa with Enchylaena tomentosa var. tomentosa, Olearia decurrens and scattered Pimelea microcephala subsp. microcephala.",FALSE
"506","VCAAUA0001-58565","VCAAUA0001",58565,"NC",NA,"-1","-1","-1","-1","-1","VCA005089","VCA005003","VCA005029","Poa hiemata low open tussock grassland to Celmisia pugioniformis  low open forbland to  Asterolasia trymalioides subsp. trymalioides and Grevillea australis low open heathland with  Leptorhynchos squamatus subsp. alpinus and other annual forbs. No mid or upper stratum. Previously a grassland that has become a heathland.",FALSE
"507","QDASSD0014-58930","QDASSD0014",58930,"No signs of recent flowering. Eremophila spp. have just past fruiting stage, some Solanum quadriloculatum in fruit, nothing very colourful, grasses past flowering.","QDA023009","QDA023007","QDA022771","QDA014967","QDA023005","QDA014953","QDA014888","QDA014889","QDA014897","Upper stratum dominated by Acacia georginae and Corymbia terminalis woodland. Mid stratum dominated by Eremophila obovata, Atalaya hemiglauca and Grevillea striata shrubland. Ground stratum dominated by Aristida holathera var. holathera, Solanum quadriloculatum and Sclerolaena cornishiana tussock grassland

",FALSE
"508","QDASSD0014-58693","QDASSD0014",58693,"NC","-1","-1","-1","-1","-1","-1","-1","-1","-1","",FALSE
"509","QDASSD0014-56923","QDASSD0014",56923,"Dry- vegetation response is dry- isolated flowering in Chrysocephalum and Ptilotus where they occur, Eremophila macdonnellii and Solanum sp. have fruit through the site. ","QDA  008085","","","","","","QDA  007947","QDA  007941","QDA  008079","Acacia georginae low open woodland and a ground stratum of Aristida holathera var. holathera, Eremophila obovata subsp. obovata, Fimbristylis dichotoma and Dactyloctenium radulans. No real mid stratum- some juvenile Atalaya hemiglauca but cover sparse.",FALSE
"510","NTAPCK1010-58938","NTAPCK1010",58938,"NC","NTA028624","NTA028625","-1","NTA028648","NTA028628","NTA028647","NTA028630","NTA028636","NTA028664","Eucalyptus miniata / Eucalyptus tetrodonta low open woodland with scattered Corymbia porrecta. A mid storey dominated by Grevillea goodii, Petalostigma quadriloculare and Acacia oncinocarpa. A ground storey dominated by Sorghum intrans with Schizachyrium fragile and Lomandra tropica",FALSE
"511","SATFLB0008-58670","SATFLB0008",58670,"NC","SAT007617","None","None","SAT007557","SAT007625","SAT007289","SAT007309","None","None","Allocasuarina verticillata low woodland with a mid-storey of Cassinia laevis, Dodonaea viscosa and some other shrubs, and a ground layer of Triodia scariosa.",FALSE
"512","SATFLB0008-53752","SATFLB0008",53752,NA,NA,NA,NA,"SAT 000419","SAT 000451","SAT 000421","SAT 000424","SAT 000418",NA,"Cassinia laevis mid shrubland with Casuarina pauper and Xanthorrhoea quadrangulata. Dense understratum of Triodia Scariosa with scattered Gonocarpus elatus.",FALSE
"513","NSACHC0002-58558","NSACHC0002",58558,"NC","NSA014443","None","None","NSA014471","NSA014497","None","NSA014462","-1","-1","Eucalyptus coolabah low open woodland with a mid-story dominated by Chenopodium auricomum and some Duma florulenta. A ground stratum dominated by Sclerolaena spp. and scattered tussock grasses.

",FALSE
"514","NSABBS0004-58556","NSABBS0004",58556,"NC","NSA015162","NSA015192","NSA015186","NSA015174","NSA015194","NSA015164","-1","-1","-1","Mixed Eucalyptus crebra, Callitris glaucophylla, Casuarina pauper and white branch ironbark woodland. Sparse mid layer dominated by Acacia mariae, Acacia deanei and some other shrubs. Ground layer low cover with some dry forbs and a grasses.",FALSE
"515","NSABBS0006-58557","NSABBS0006",58557,"NC","NSA015224","NSA015220","NSA015214","NSA015252","NSA015214","None","-1","-1","-1","Eucalyptus crebra, Eucalyptus sideroxylon, Callitris glaucophylla, Casuarina cristata mid open forest. Mid layer consisting of Acacia ixiophylla and juvenile Casuarina cristata. Ground layer spare with a few scattered tussocks.",FALSE
"516","SATSTP0008-58643","SATSTP0008",58643,"NC","None","None","None","None","None","None","SAT006303","SAT006285","None","Maireana ciliata low sparse chenopod shrubland with Sclerolaena intricata to an Astrebla pectinata low sparse tussock grassland",FALSE
"517","SATSTP0008-53516","SATSTP0008",53516,"","","","","","","","SAT  002468","SAT  002484","SAT  002524","Astrebla pectinata low sparse grassland with scattered Plantago drummondii and Tripogon loliiformis",FALSE
"518","QDABBS0008-58728","QDABBS0008",58728,"NC","QDA025349","None","None","QDA025375","QDA025317","QDA025369","QDA025379","QDA025413","QDA025399","Open Eucalyptus populnea woodland with a scattered mid-storey of Opuntia aurantiaca and Opuntia tomentosa and young E. populnea. Diverse grassland ground-storey of Paspalidium species, Chloris species, Enteropogon species, Dichanthium sericeum subsp. sericeum, Digitaria species, Panicum species, some Sclerolaena species and Phyla canescens.",FALSE
"519","QDACYP0010-58595","QDACYP0010",58595,"NC","None","None","None","None","None","None","QDA012483","QDA012509","QDA012489","Mixed Dichanthium sericeum subsp. sericeum, Arundinella nepalensis and Eriachne burkittii grassland on Piccaninny Plains with Sarga plumosum, Themeda quadrivalvis and other grass and forb species. No real mid layer, some scattered emergent shrubs with no upper canopy.
",FALSE
"520","QDABBS0009-58729","QDABBS0009",58729,"NC","QDA025735","QDA025605","None","QDA025657","QDA025645","QDA025711","QDA025625","QDA025613","QDA025687","Mixed Acacia melvillei and Eucalyptus populnea woodland with a mid-storey of Geijera parviflora, Alectryon oleifolius subsp. Elongatus and a ground storey dominated by Bryophyllum x houghtonii with some Enteropogon ramosus, Paspalidium distans and Portulaca oleracea.",FALSE
"521","NSAMUL0004-58560","NSAMUL0004",58560,"NC","NSA014405","None","None","-1","-1","-1","-1","-1","-1","Acacia aneura low woodland with emergent Eucalyptus populnea. Minimal mid or ground story.

",FALSE
"522","NSANSS0002-58562","NSANSS0002",58562,"NC","NSA014917","NSA014763","NSA014887","None","None","None","NSA014907","None","None","Callitris glaucophylla , Eucalyptus blakelyi, Eucalyptus microcarpa, Eucalyptus sideroxylon and Callitris endlicheri low open forest . Minimal mid stratum. Ground stratum is very sparse but dominated by Aristida ramosa",FALSE
"523","SAABHC0004-58796","SAABHC0004",58796,"NC","SAA011060","NO_BARCODE_DEAD_TREE_646505","None","SAA011060","SAA011066","SAA011076","SAA011048","SAA011102","SAA011088","Eucalyptus camaldulensis subsp. arida woodland very mature trees, one large Santalum lanceolatum present. The mid stratum is made up of Eucalyptus camaldulensis shrubs, Santalum lanceolatum, and Myoporum montanum. The lower stratum is made up of Rhagodia spinescens and both Maireana pyramidata and Maireana brevifolia, and Atriplex species.",FALSE
"524","SAABHC0004-58564","SAABHC0004",58564,"NC","SAA006619","None","None","SAA006781","SAA006681","None","SAA006737","SAA006733","None","Eucalyptus camaldulensis subsp. minima mid woodland with a lower upper canopy of Eremophila longifolia and juvenile Eucalyptus camaldulensis. Mid layer is dominated by Rhagodia spinescens with Maireana brevifolia, Enchylaena tomentosa and other Chenopods. A very sparse but  diverse ground layer.",FALSE
"525","SAAFLB0006-58619","SAAFLB0006",58619,"NC","SAA007069","SAA007547","None","SAA007065","SAA007549","SAA007539","SAA007191","SAA007171","SAA007161","Eucalyptus goniocalyx with Eucalyptus cladocalyx open woodland with a mid-storey of Acacia continua, Acacia wattsiana and Daviesia leptophylla with regenerating Eucalyptus species. Mixed ground layer of Astroloma humifusum, Wurmbea biglandulosa, Arthropodium sp. and Microseris lanceolata.",TRUE
"526","QDACYP0002-58586","QDACYP0002",58586,"NC","-1","-1","-1","QDA  008105","QDA  008115","QDA  008155","QDA  008149","QDA  008141","QDA012003","Melaleuca viridiflora low open woodland to tall shrubland. Mostly shrubs but a few emergent Melaleuca saligna  and Livistona sp. Lower mid layer of Asteromyrtus lysicephala., Xanthorrhoea johnsonii.  and some scattered Pandanus sp. Ground layer is predominately sedges dominated by Schoenus sparteus
",FALSE
"527","VCAAUA0004-58612","VCAAUA0004",58612,"NC","VCA005519","None","None","VCA005501","VCA005541","VCA005547","VCA005553","VCA005503","VCA005571","Eucalyptus pauciflora subsp. niphophila low open woodland.  Mid stratum is a low  heathland dominated by Sterolasia trymalioides subsp. trymalioides with  Grevillea australis and Hovea montana. Ground stratum is an open tussock grassland dominated by Poa hiemata.",FALSE
"528","SATSTP0002-58646","SATSTP0002",58646,"NC","SAT006763","None","None","SAT006773","None","None","SAT006711","SAT006735","SAT006751","Acacia ligulata low open woodland to tall sparse shrubland with isolated emergent Santalum lanceolatum with Casuarina pauper on the southern boundary. Very sparse ground stratum of Maireana pyramidata and other chenopods with Enneapogon cylindricus



",FALSE
"529","SATSTP0002-53558","SATSTP0002",53558,"Very light rain overnight. Most forbs flowering as are Maireana. Acacia ligulata has buds and some flowers. ","","","","SAT  001600","SAT  001560","","SAT  001588","SAT  001570","","Acacia ligulata tall sparse shrubland with Enchylaena tomentosa var. tomentosa and scattered Santalum lanceolatum. Some isolated Maireana pyramidata in mid stratum. Tussock grasses, mainly Enneapogon spp. and Sida fibulifera in ground stratum",FALSE
"530","QDACYP0024-58609","QDACYP0024",58609,"NC","QDA022743","QDA022737","QDA022701","QDA022743","QDA022737","QDA022729","QDA022517","QDA022599","QDA022695","Eucalyptus tetrodonta and Corymbia nesophila woodland with scattered Erythrophleum chlorostachys and Parinari nonda. Sparse midlayer of Eucalyptus tetrodonta, Corymbia nesophila, Erythrophleum chlorostachys and Parinari nonda. Dense ground stratum grasses- Sarga plumosum, Heteropogon triticeus, Chrysopogon fallax, Eriachne triseta and Eriachne stipacea.",FALSE
"531","SAAFLB0003-58704","SAAFLB0003",58704,"NC","SAT009316","SAT009400","None","SAT009316","SAT009418","None","SAT009314","SAT009392","SAT009332","Eucalyptus microcarpa low open forest with isolated Eucalyptus leucoxylon subsp. leucoxylon. Very sparse mid stratum- isolated juvenile Eucalyptus microcarpa and Myoporum petiolatum. Ground stratum is a low tussock grassland dominated by introduced grasses and forbs including Briza maxima, Avena barbata, Vulpia muralis and Plantago lanceolata var. lanceolata.",FALSE
"532","SAAFLB0003-58033","SAAFLB0003",58033,"NC","SAA006096",NA,"None","None","None","None","SAA006267","SAA006257","SAA006128","Eucalyptus microcarpa low open forest with isolated Eucalyptus leucoxylon  subsp. leucoxylon . Very sparse mid stratum- isolated juvenile Eucalyptus microcarpa and Myoporum petiolatum. Ground stratum is a low tussock grassland dominated by introduced grasses and forbs including Briza maxima, Brachypodium distachyon and Plantago lanceolata var. lanceolata.",FALSE
"533","VCAAUA0013-58541","VCAAUA0013",58541,"NC","-1","-1","-1","-1","-1","-1","VCA007763","VCA007775","VCA007935","Poa costiniana low closed tussock grassland with Carex gaudichaudiana, Plantago antarctica, Brachyscome scapigera and Taraxacum Sect. Taraxacum",FALSE
"534","NTTDMR0001-53582","NTTDMR0001",53582,"Very wet- mass flowering in ground layer. ","","","","NTT  002119","NTT  002039","","NTT  002043","NTT  002059","NTT  002055","Melaleuca viridiflora mid sparse shrubland with a diverse sedge/grass understratum. Emergent Corymbia flavescens and Corymbia dichromophloia. Ground stratum is mixed but dominated by Triodia pungens, Scleria rugosa and Fimbristylis dichotoma. Also several Cyperus, Fimbristylis and numerous aquatic forbs including Drosera and Stylidium. ",FALSE
"535","SATFLB0011-58671","SATFLB0011",58671,"NC","SAT007921","SAT007795","None","SAT007919","SAT007859","SAT007885","SAT007869","SAT007789","SAT007817","Eucalyptus cladocalyx woodland with Eucalyptus goniocalyx. Mid-storey of Xanthorrhoea sp., Hibbertia spp. and Cassinia. Ground layer of Lomandra densiflora, Arthopodium strictum and Dianella revoluta.",FALSE
"536","SATFLB0011-53754","SATFLB0011",53754,"","SAT 000611","SAT 000583","","SAT 000619","SAT 000593","SAT 000587","SAT 000599","SAT 000588","SAT 000604","Eucalyptus cladocalyx low open forest with Eucalyptus goniocalyx subsp. goniocalyx. Diverse dense mid stratum dominated by Xanthorrhoea quadrangulata and Hibbertia spp. ground stratum dominated by Astroloma humifusum, Dianella revoluta var. revoluta and Lomandra densiflora.",FALSE
"537","WAAGES0002-58732","WAAGES0002",58732,"NC","WAA020825","None","None","WAA020805","WAA020811","WAA020817","WAA020729","WAA020727","WAA020731","Melaleuca cordata heathland to Allocasuarina campestris shrubland with Homalocalyx aureus and Acacia neurophylla subsp. erugata. A lower mid stratum dominated by Hibbertia glomerosa subsp. glomerosa and Dampiera altissima. Ground stratum is sparse. Isolated emergent Eucalyptus gittinsii subsp. gittinsii.",FALSE
"538","WAAGES0002-58024","WAAGES0002",58024,"NC","-1","-1","-1","WAA012452","WAA012458","WAA012394","WAA012426","WAA012440","WAA012434","Melaleuca cordata mid open heathland to Allocasuarina campestris mid open shrubland with Homalocalyx aureus and Acacia neurophylla subsp. erugata. A lower mid stratum stratum dominated by Hibbertia glomerosa subsp. glomerosa and Dampiera altissima. Ground stratum is sparse. Isolated emergent Eucalyptus gittinsii subsp. gittinsii.",FALSE
"539","NTAPCK1011-58940","NTAPCK1011",58940,"NC","NTA028727","NTA028727","NTA028712","NTA028694","NTA028727","NTA028712","NTA028766","NTA028757","NTA028698","Eucalyptus tetrodonta / Xanthostemon paradoxus / Corymbia bleeseri / Corymbia porrecta mid open woodland. Acacia mimula forming a secondry upper storey.  A sparse mid storey of juvenile Acacia, Eucaylptus and Corymbia. A ground storey dominated by Sorghum brachypodum with Petalostigma quadriloculare and some Aristida holathera. ",FALSE
"540","VCAAUA0012-58613","VCAAUA0012",58613,"NC","None","None","None","None","None","None","VCA007505","VCA007497","VCA007681","Poa costiniana and Poa clivicola diverse low tussock grassland with Carex breviculmis, Carex gaudichaudiana, Carex jackiana and Empodisma minus.",TRUE
"541","VCAAUA0015-58539","VCAAUA0015",58539,"NC","-1","-1","-1","-1","-1","-1","VCA007878","-1","-1","Austrostipa nivicola low tussock grassland with Poa fawcettiae to Hovea montana low open heathland

 

",FALSE
