"","site_unique","site_location_name","established_date","description","bioregion_name","landform_pattern","landform_element","site_slope","site_aspect","comments","outcrop_lithology","other_outcrop_lithology","plot_dimensions","site_location_visit_id","visit_start_date","visit_end_date","visit_notes","location_description","erosion_type","erosion_abundance","erosion_state","microrelief","drainage_type","disturbance","climatic_condition","vegetation_condition","observer_veg","observer_soil","described_by","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones","pit_marker_datum","pit_marker_location_method","soil_observation_type","a_s_c","plot_is_100m_by_100m","plot_is_aligned_to_grid","plot_is_permanently_marked","latitude","longitude","point","state","lon_easting","lat_northing"
"163","SAASTP0023-53736","SAASTP0023","2012-10-18T00:00:00","Mount Barry Station. 57km South East of Cadney Park Roadhouse","STP","FLO","DDE","1","90","-------------- new visit physicalStatusComments start --------------
Landform element and pattern is a shallow drainage line in a broader plain. No outcrop apparent. Some surface strew present, mainly pebble size 5-30mm. Site is long unburnt with no evidence of past fire. Grazing impact is low to moderate, with evidence of cattle dung and tracks throughout. Most grasses are grazed. Main slope of the site is to the west, 1 degree. Nearest infrastructure is the Evelyn Downs Road, 560m south of the southern boundary of the plot.
-------------- new visit physicalStatusComments end ---------------
Along broad run on drainage line with central main channel bordered by Acacia aneura var. tenuis. Evidence of cattle using area recently but none seen. Red kangaroo scats under Mulgas. All Eremophila are heavily grazed. Annuals have dried off forming most of the litter. Some of the rock strew, mainly along the creek appears to be from silty origin and is quite angular. Siltstone, Quartzite and even calcrete are lightly dispersed through the site. Minimal impact of introduced plant species- Malvastrum americanum var. americanum present.
.","KC","NC",NA,53736,"2012-10-18T00:00:00","2012-12-18T00:00:00","","Mount Barry Station. 57km South East of Cadney Park Roadhouse","R","2","S","U",2,"1M","DRY",NA,6,4,6,459268,6879577,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-28.20895,134.584947222222,"SW","SA",134.584929204292,-28.2089867798372
"164","SAASTP0024-53737","SAASTP0024","2012-10-19T00:00:00","Arckaringa Plateau. 90km East South East of Cadney Park Roadhouse. Southern edge of Arckaringa plateau","STP","LOW","PLA","2","90","On gibber upland flat with sparse small gilgai. Burrows and runways of large rodents present but do not appear to be currently active. A few very old cattle pats.","QU","NC",NA,53737,"2012-10-19T00:00:00","2012-12-19T00:00:00","","Arckaringa Plateau. 90km East South east of Cadney Park Roadhouse","E","NC","NC","C",2,"0",NA,NA,6,4,6,497432,6903450,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-27.9941,134.973888888889,"SW","SA",134.973883295344,-27.9941083739948
"165","SAASTP0026-53738","SAASTP0026","2012-10-20T00:00:00","Arckaringa Station, 91km East North east of Cadeny Park roadhouse ","STP","PLA","HSL","1","360","-------------- new visit physicalStatusComments start --------------
Land form element and pattern is a stony plain on a gibber tableland. No outcrop. Surface strew is small gravel size up to rocks of 25cm. Mostly very dense, forming a gibber pavement across 60% of the site. Ironstone and silcrete present. Other areas have very soft puffy cracking clay with little vegetation cover. Little to no introduced plant impact. Grazing impact is low. Cattle have travelled through the site, but no current grazing on Astrebla pectinate or Panicum decompositum. No evidence of past fire, there are no trees on the site to show scarring. Site is homogenous, and community extends at least 300m north, east and west beyond the site. To the south after 400m the slope drops away into more of a breakaway, supporting mulga and eremophila, with rocky outcrop on the surface. Nearest infrastructure is the access track 120m south west of the SW corner.
-------------- new visit physicalStatusComments end ---------------
No sign of cattle. Matrix of large rodent burrows ( generally inactive) and runways through puffy clay in large cracks. Some siltstone.","QZ","NC",NA,53738,"2012-10-20T00:00:00","2012-10-20T00:00:00","","91km East North east of Cadeny Park roadhouse ","E","NC","NC","C",2,"0","DRY",NA,6,4,6,489381,6926180,53,"WGS84","DGPS","P",NA,TRUE,TRUE,TRUE,-27.788875,134.892207777778,"SW","SA",134.892207690032,-27.7888751046852
"166","SAASTP0027-53739","SAASTP0027","2012-10-21T00:00:00","Arckaringa Station, Painted Hills Plateau. 80 km North East of Cadney Park Roadhouse. On main track towards Wurley Hole ( Dam).","STP","PLA","HSL","1","270","Numerous old cow pats but no sign of recent cattle. Very little evidence of rodent activity. Large areas of uneven gibber pavement, with a dispersal of boulder sized rocks throughout. Larger cracks and puffy clay in areas without any gibber are in small clusters  throughout.","QU","NC",NA,53739,"2012-10-21T00:00:00","2012-10-21T00:00:00","","Painted Hills Plateau Arckaringa Station. 80km North East of Cadney Park Roadhouse","E","NC","NC","C",2,"0","DRY",NA,5,4,5,484598,6931892,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-27.73725,134.843755555556,"SW","SA",134.843729768186,-27.7372631991092
"167","SAASTP0028-53740","SAASTP0028","2012-10-21T00:00:00","Painted Hills Plateau. Arckaringa Station. 80.5km North East of Cadney Park Roadhouse","STP","PLA","HSL",NA,NA,"-------------- new visit physicalStatusComments start --------------
Landform element and pattern is an undulating plain on a tableland. 1-degree slope to the west. Surface lithology is a mixture of different metamorphic rock. Gibbers are mostly pebble sized, with some cobble sized present, across the majority of the site (70%). Minimal introduced plant impact. Grazing impact is low to moderate, with Astrebla sp. and other tussock grasses modified by cattle. No evidence of past fire. Site is long unburnt. Site is homogenous, community extends at least 200m west and east, 400m north and south. Nearest infrastructure is a dam for stock water approximately 2.5km north west of the plot. Access to the site is very limited. No track was found into the site, and it was reached by cross country from the track to the north, and departed to the west. This route is NOT recommended.
-------------- new visit physicalStatusComments end ---------------
Large cracks, puffy surface clay. No recent evidence of cattle. Numerous large rodent burrows , scats and runways but most are not fresh or recent. North east of quadrat has mainly large (400mm)boulder sized rocks with cobble between and mostly grasses.","QZ","NC",NA,53740,"2012-10-28T00:00:00","2012-10-21T00:00:00","","Painted Hills Plateau. Arckaringa Station. 80.5km North East of Cadney Park Roadhouse","E","NC","NC","C",2,"0","DRY",NA,5,4,5,484681,6934849,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-27.7105611111111,134.844616666667,"SW","SA",134.844609745096,-27.7105694584551
"168","SAASTP0029-53741","SAASTP0029","2012-10-23T00:00:00","The Old Peake Paddock.  103km North North West of William Creek","STP","LOW","HSL","1","360","On fine clay gravel with surface layer of fractured quartz pebbles and rock intrusions. Small drainage depression throughout site. No sign of cattle, paddock destocked for many years. Surface strew apparent in all sizes, pebble, cobble and boulders >250 - 1000 mm. Smaller fine gravel quartz below surface. See photos of rock outcrops.","QU","NC",NA,53741,"2012-10-23T00:00:00","2012-10-23T00:00:00","","The Old Peake Paddock.  103km North North West of William Creek","G","2","P","NC",3,"0","DRY",NA,5,4,5,584634,6892850,53,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-28.0870777777778,135.861472222222,"SW","SA",135.8614548164,-28.0870953748093
"169","NTAFIN0028-53746","NTAFIN0028","2012-09-22T00:00:00","Umbeara Station 12.5km North East of Kulgera Roadhouse","FIN","PLA","DDE",NA,NA,"Flat site in shallow drainage depression. Long unburnt due to sparse cover. Grazing impact moderate- 3km from water point. Grass layer still intact. Shallow drainage line running from NW corner to the SW corner at about 30m mark.  Auger to 1 m. No pit photos. Minimal impact of introduced plant species.
","NC","NC",NA,53746,"2012-09-22T00:00:00","2012-09-22T00:00:00","","Umbeara Station 12.5km North East of Kulgera Roadhouse","W","1","P","NC",4,"1L","DRY","DRY",1,2,1,338858,7148812,53,"WGS84","DGPS","P","3CHAABDIEBEKO",TRUE,TRUE,TRUE,-25.7699305555556,133.393080555556,"SW","NT",133.393079941719,-25.7699296466249
"170","NTAFIN0029-53747","NTAFIN0029","2012-09-23T00:00:00","Umbeara Station 18km North East of Kulgera Roadhouse","FIN","PLA","PLA",NA,NA,"Very gently sloping site. Slope from the north east to the south east. No evidence of fire though difficult to tell ( no shrub layer) 3+years. Grazing impact moderate- grasses intact. 7km from water point but close to railway acting as a conduit for the cattle. Large patches of open bare ground. Minimal impact of introduced plant species.
","NC","NC",NA,53747,"2012-09-23T00:00:00","2012-09-23T00:00:00","","Umbeara Station 18km North East of Kulgera Roadhouse","NC","NC","NC","NC",4,"0","DRY","DRY",1,2,1,343369,7152462,53,"WGS84","DGPS","P","3CHAACQIEEBGKO",TRUE,TRUE,TRUE,-25.737475,133.438483333333,"SW","NT",133.438481486671,-25.7374715193344
"171","NTAFIN0030-53748","NTAFIN0030","2012-10-24T00:00:00","Umbeara Station 22km South South East of Umbeara Homestead. 5.5km North of SA/NT Border","STP","PLA","PLA","1","135","Long unburnt.  Wash from recent rain has knocked over much of the grass layer. Drainage line running along southern boundary of the site.  Grazing impact low. Weed impact- minimal.","NC","NC","100 x 100 m.",53748,"2012-10-24T00:00:00","2012-10-24T00:00:00",NA,"Umbeara Station 22km South South East of Umbeara Homestead. 5.5km North of SA/NT Border","G","2","A","NC",4,"1L","DRY","DRY",1,2,1,377970,7129495,53,"WGS84","DGPS","P","3TECYCZARAFKKU",TRUE,TRUE,TRUE,-25.9481083333333,133.781244444444,"SW","NT",133.781239150964,-25.9481071079223
"172","NTAFIN0031-53749","NTAFIN0031","2012-10-25T00:00:00","Umbeara Station 26.5km South East of Umbeara Homestead. 11km North of SA/Not Border","FIN","LOW","HSL",NA,NA,"Slope of low hill.","NC","NC","100 x 100 m.",53749,"2012-10-25T00:00:00","2012-10-25T00:00:00","","Umbeara Station 26.5km South East of Umbeara Homestead. 11km North of SA/Nt Border","R","1","A","NC",5,"1L","DRY","FFR",1,2,1,389476,7134938,53,"WGS84","DGPS","P","3RUCYCZARFLLT",TRUE,TRUE,TRUE,-25.8998916666667,133.896594444444,"SW","NT",133.896593823627,-25.8998876185382
"173","NTAFIN0032-53750","NTAFIN0032","2012-11-01T00:00:00","Old South Road 28km South South East of Alice Springs","FIN","PLA","PLA",NA,NA,"Flat site with a slight drainage line running from north west to south west. Acacia aneura a little denser where this bisects the site. Grazing impact low- some evidence of kangaroos in the site.  Camp ground some distance away may have an effect on litter within the site- firewood collection. Minimal impact of introduced plant species.","NC","NC",NA,53750,"2012-11-01T00:00:00","2012-11-01T00:00:00","","Old South Road 28km South South East of Alice Springs","R","1","S","Z",4,"0","DRY","FFR",1,2,1,390368,7350474,53,"WGS84","DGPS","P","3TEINA0ARCEKK",TRUE,TRUE,TRUE,-23.9537666666667,133.92255,"SW","NT",133.922550761127,-23.95376283084
"174","NTAFIN0033-53751","NTAFIN0033","2012-11-06T00:00:00","Old South Road 38km South South East of Alice Springs","FIN","PLA","PLA",NA,NA,"Flat site on the edge of the Old South Road. Some shallow vegetated drainage lines , the biggest running N-S on eastern boundary about  60cm deep.  Moderate impact of introduced plant species- Cenchrus ciliaris moderate cover.
","NC","NC",NA,53751,"2012-11-06T00:00:00","2012-11-06T00:00:00","","Old South Road 38km South South East of Alice Springs","R","1","A","NC",4,"1L","WET","AVG",1,2,1,395439,7341665,53,"WGS84","DGPS","P","3KAAAYYCDAEKM",TRUE,TRUE,TRUE,-24.0336583333333,133.971755555556,"SW","NT",133.971749716207,-24.0336570516283
"175","NTASSD0016-53566","NTASSD0016","2013-03-22T12:00:00","Mac Clark Conservation Reserve. 107km north east of Finke Community","SSD","PLA","PLA","0",NA,"Shallow rill running from north west to south east. Site otherwise flat.
 Long unburnt. Weed impact nil. Some cattle pads but grazing impact minimal. Evidence of long haired rat burrows. Closest Acacia peuce- single tree 50m north of quadrat","NA","NC",NA,53566,"2013-03-22T19:01:33","2013-03-22T19:01:33","","Mac Clark Conservation Reserve","R","1","P","B",4,"0","DRY","DRY",1,2,1,551213,7222758,53,"WGS84","GPS","P","NC",TRUE,TRUE,TRUE,-25.1101138888889,135.507997222222,"SW","NT",135.507962658783,-25.1101596687582
"176","NTASSD0014-53564","NTASSD0014","2013-03-23T00:00:00","About 15kms southwest of Mac Clarke Conservation Reserve. 93km north east of Finke community","SSD","PLA","PLA","0",NA,"Broad longitudinal plain (north south aligned) about 5kms wide between dunes","NA","NC",NA,53564,"2013-03-23T00:00:00","2013-03-23T00:00:00","Site is marked with centre post only.","About 15kms southwest of Mac Clarke Conservation Reserve","NC","NC","Z","O",4,"0","DRY","DRY",1,2,1,537363,7219725,53,"WGS84","GPS","P","NC",TRUE,TRUE,TRUE,-25.1378694444444,135.3707,"SW","NT",135.370674995038,-25.1379568807383
"177","QDASSD0008-57628","QDASSD0008","2014-05-04T00:00:00","Spinifex dune","SSD","DUN","DUC","5","75","-------------- new visit physicalStatusComments start --------------
Ausplot 8 29/6/2021 A27
Spinifex hummock grassland, no changes, on dune crest which is  not parallel to dunes and   flattens out to swale to the east, was long unburnt but had a burn through some of the plot in June 2017, dry on average, hummock grass heads long dry, no seed in heads, shrubs green not too many forbs have new growth, a few shrubs mostly G steno, a little petastylis and sidas

-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
Revisit- burnt patch western half from BHA fire management aerial incendiary burning June 2017
-------------- new visit physicalStatusComments end ---------------
Site is on a dune crest. Slope through the site 4-5 degree. Flattens out on eastern edge. Very long unburnt when compared to previous site (QDASSD0006). Not burnt since 1970s or possibly the 1950. Grazing effect minimal. Homogeneity: Community continues approx. 70m in a north westerly and south westerly direction beyond the plot. Dunes running in a north westerly direction.","NA","NA","100m x 100m.",57628,"2015-04-20T00:00:00","2015-04-20T00:00:00","Revisit undertaken by the Desert Ecology Research Group - University of Sydney, NSW.","NC","NC","NC","NC","NC",7,"NC","NC","NC",23,13,23,NA,NA,NA,NA,NA,"NC","NC",TRUE,TRUE,TRUE,-23.9541527777778,138.136986111111,"SW","QLD",NA,NA
"178","QDASSD0008-56917","QDASSD0008","2014-05-04T00:00:00","Spinifex dune","SSD","DUN","DUC","5","75","-------------- new visit physicalStatusComments start --------------
Ausplot 8 29/6/2021 A27
Spinifex hummock grassland, no changes, on dune crest which is  not parallel to dunes and   flattens out to swale to the east, was long unburnt but had a burn through some of the plot in June 2017, dry on average, hummock grass heads long dry, no seed in heads, shrubs green not too many forbs have new growth, a few shrubs mostly G steno, a little petastylis and sidas

-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
Revisit- burnt patch western half from BHA fire management aerial incendiary burning June 2017
-------------- new visit physicalStatusComments end ---------------
Site is on a dune crest. Slope through the site 4-5 degree. Flattens out on eastern edge. Very long unburnt when compared to previous site (QDASSD0006). Not burnt since 1970s or possibly the 1950. Grazing effect minimal. Homogeneity: Community continues approx. 70m in a north westerly and south westerly direction beyond the plot. Dunes running in a north westerly direction.","NA","NA","100m x 100m.",56917,"2014-05-04T00:00:00","2014-05-04T00:00:00","","Ethabuka reserve. 36.8km west south west of Ethabuka homestead","n/a","X","n/a","Z",6,"0","DRY","AVG",1,2,1,208610,7347890,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-23.9541527777778,138.136986111111,"SW","QLD",138.136937971415,-23.9541694012943
"179","QDASSD0008-58687","QDASSD0008","2014-05-04T00:00:00","Spinifex dune","SSD","DUN","DUC","5","75","-------------- new visit physicalStatusComments start --------------
Ausplot 8 29/6/2021 A27
Spinifex hummock grassland, no changes, on dune crest which is  not parallel to dunes and   flattens out to swale to the east, was long unburnt but had a burn through some of the plot in June 2017, dry on average, hummock grass heads long dry, no seed in heads, shrubs green not too many forbs have new growth, a few shrubs mostly G steno, a little petastylis and sidas

-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
Revisit- burnt patch western half from BHA fire management aerial incendiary burning June 2017
-------------- new visit physicalStatusComments end ---------------
Site is on a dune crest. Slope through the site 4-5 degree. Flattens out on eastern edge. Very long unburnt when compared to previous site (QDASSD0006). Not burnt since 1970s or possibly the 1950. Grazing effect minimal. Homogeneity: Community continues approx. 70m in a north westerly and south westerly direction beyond the plot. Dunes running in a north westerly direction.","NA","NA","100m x 100m.",58687,"2018-06-19T14:34:00","2018-06-19T12:00:00","Revisit undertaken by the Desert Ecology Research Group - University of Sydney, NSW.2018.","Ethabuka reserve. 36.8km west south west of Ethabuka homestead

","NC","NC","NC","NC",7,"NC","DRY","DRY",41,13,41,NA,NA,NA,NA,NA,"NC","NC",TRUE,TRUE,TRUE,-23.9541527777778,138.136986111111,"SW","QLD",NA,NA
"180","QDASSD0010-57630","QDASSD0010","2014-05-05T00:00:00","Eucalypt coolabah woodland
","SSD","DUN","FLD","0",NA,"-------------- new visit physicalStatusComments start --------------
Revisit-no change
Flat, broad swamp between dunes. No rocky strew but large amounts of ash due/ burnt material to the fire. Grazing effect is low- both cattle and camels present. Burnt 2012. Introduce plant effect moderate- Malvastrum americanum through the site and the surrounding area but overall cover low at present.  Average height at the base where re-sprouting is 2m.
Flat, broad swamp between dunes. No rocky strew but large amounts of ash due/ burnt material to the fire. Grazing effect is low- both cattle and camels present. Burnt 2012. Introduce plant effect moderate- Malvastrum americanum through the site and the surrounding area but overall cover low at present.  Average height at the base where re-sprouting is 2m.

Ausplot 10 27/6/2021 C8
Corymbia, coolabah woodland, little change to plot since last revisit , eulalia dominant over 50% cover, trees have started to grow back thicker canopy, nothing in obvious flower visible , no obvious disturbance.

-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
Revisit-no change
-------------- new visit physicalStatusComments end ---------------
Flat, broad swamp between dunes. No rocky strew but large amounts of ash due/ burnt material to the fire. Grazing effect is low- both cattle and camels present. Burnt 2012. Introduce plant effect moderate- Malvastrum americanum through the site and the surrounding area but overall cover low at present.  Average height at the base where re-sprouting is 2m.","NA","NA",NA,57630,"2015-04-25T00:00:00","2015-04-25T00:00:00","Revisit undertaken by the Desert Ecology Research Group - University of Sydney, NSW.","NC","NC","NC","NC","NC",7,"NC","NC","NC",23,13,23,NA,NA,NA,NA,NA,"NC","NC",TRUE,TRUE,TRUE,-23.731025,138.000386111111,"SW","QLD",NA,NA
"181","QDASSD0010-56919","QDASSD0010","2014-05-05T00:00:00","Eucalypt coolabah woodland
","SSD","DUN","FLD","0",NA,"-------------- new visit physicalStatusComments start --------------
Revisit-no change
Flat, broad swamp between dunes. No rocky strew but large amounts of ash due/ burnt material to the fire. Grazing effect is low- both cattle and camels present. Burnt 2012. Introduce plant effect moderate- Malvastrum americanum through the site and the surrounding area but overall cover low at present.  Average height at the base where re-sprouting is 2m.
Flat, broad swamp between dunes. No rocky strew but large amounts of ash due/ burnt material to the fire. Grazing effect is low- both cattle and camels present. Burnt 2012. Introduce plant effect moderate- Malvastrum americanum through the site and the surrounding area but overall cover low at present.  Average height at the base where re-sprouting is 2m.

Ausplot 10 27/6/2021 C8
Corymbia, coolabah woodland, little change to plot since last revisit , eulalia dominant over 50% cover, trees have started to grow back thicker canopy, nothing in obvious flower visible , no obvious disturbance.

-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
Revisit-no change
-------------- new visit physicalStatusComments end ---------------
Flat, broad swamp between dunes. No rocky strew but large amounts of ash due/ burnt material to the fire. Grazing effect is low- both cattle and camels present. Burnt 2012. Introduce plant effect moderate- Malvastrum americanum through the site and the surrounding area but overall cover low at present.  Average height at the base where re-sprouting is 2m.","NA","NA",NA,56919,"2014-05-05T00:00:00","2014-05-05T00:00:00","Unknown substrate is ash- site burnt 18 months ago.
Transect E2-W2 points 73 to 79 not recorded.","Ethabuka reserve. 50.8 km west north west of Ethabuka homestead","n/a","X","n/a","Z",4,"0","DRY","FFR",1,2,1,194174,7372323,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-23.731025,138.000386111111,"SW","QLD",138.000324360071,-23.7310737455072
"182","QDASSD0010-58689","QDASSD0010","2014-05-05T00:00:00","Eucalypt coolabah woodland
","SSD","DUN","FLD","0",NA,"-------------- new visit physicalStatusComments start --------------
Revisit-no change
Flat, broad swamp between dunes. No rocky strew but large amounts of ash due/ burnt material to the fire. Grazing effect is low- both cattle and camels present. Burnt 2012. Introduce plant effect moderate- Malvastrum americanum through the site and the surrounding area but overall cover low at present.  Average height at the base where re-sprouting is 2m.
Flat, broad swamp between dunes. No rocky strew but large amounts of ash due/ burnt material to the fire. Grazing effect is low- both cattle and camels present. Burnt 2012. Introduce plant effect moderate- Malvastrum americanum through the site and the surrounding area but overall cover low at present.  Average height at the base where re-sprouting is 2m.

Ausplot 10 27/6/2021 C8
Corymbia, coolabah woodland, little change to plot since last revisit , eulalia dominant over 50% cover, trees have started to grow back thicker canopy, nothing in obvious flower visible , no obvious disturbance.

-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
Revisit-no change
-------------- new visit physicalStatusComments end ---------------
Flat, broad swamp between dunes. No rocky strew but large amounts of ash due/ burnt material to the fire. Grazing effect is low- both cattle and camels present. Burnt 2012. Introduce plant effect moderate- Malvastrum americanum through the site and the surrounding area but overall cover low at present.  Average height at the base where re-sprouting is 2m.","NA","NA",NA,58689,"2018-06-20T14:39:00","2018-06-20T14:39:00","Revisit undertaken by the Desert Ecology Research Group - University of Sydney, NSW.2018","Ethabuka Reserve. 50.8 km west north west of Ethabuka homestead

","NC","NC","NC","NC",7,"NC","DRY","DRY",41,13,41,NA,NA,NA,NA,NA,"NC","NC",TRUE,TRUE,TRUE,-23.731025,138.000386111111,"SW","QLD",NA,NA
"183","QDASSD0011-57631","QDASSD0011","2014-05-07T00:00:00","Gidgee Swale","SSD","DUN","SWL","0",NA,"-------------- new visit physicalStatusComments start --------------
Revisit-no change
Grazing effect is low- some camel tracks within the plot though historically heavier. Cattle removed in 2004. Introduced plant effect- none noted. Very long unburnt. Homogeneity: Community is in a swale between north westerly trending dunes. Continues 100m to the north west and south east.

Ausplot 11 22/6/2021 D1
Gidgee open woodland,, understorey mixed chenopods of schleroleanas, some grasses but have hayed off, dominants gidgee, schleoleana, mairenana, dry tussocks and forbs not responding to recent rain, wide swale community between dune, previously had cattle and some ongoing signs including a browse line but there is some recruitment of smaller gidgee apparent since destocking in 2006, substrate mix of sand and stony gravel and clay areras and evidence of standing water.

-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
Revisit-no change 
-------------- new visit physicalStatusComments end ---------------
Grazing effect is low- some camel tracks within the plot though historically heavier. Cattle removed in 2004. Introduced plant effect- none noted. Very long unburnt. Homogeneity: Community is in a swale between north westerly trending dunes. Continues 100m to the north west and south east.","NA","NA",NA,57631,"2015-04-23T00:00:00","2015-04-23T00:00:00","Revisit undertaken by the Desert Ecology Research Group - University of Sydney, NSW.","NC","NC","NC","NC","NC",7,"NC","NC","NC",23,13,23,NA,NA,NA,NA,NA,"NC","NC",TRUE,TRUE,TRUE,-23.2366333333333,138.226080555556,"SW","QLD",NA,NA
"184","QDASSD0011-56920","QDASSD0011","2014-05-07T00:00:00","Gidgee Swale","SSD","DUN","SWL","0",NA,"-------------- new visit physicalStatusComments start --------------
Revisit-no change
Grazing effect is low- some camel tracks within the plot though historically heavier. Cattle removed in 2004. Introduced plant effect- none noted. Very long unburnt. Homogeneity: Community is in a swale between north westerly trending dunes. Continues 100m to the north west and south east.

Ausplot 11 22/6/2021 D1
Gidgee open woodland,, understorey mixed chenopods of schleroleanas, some grasses but have hayed off, dominants gidgee, schleoleana, mairenana, dry tussocks and forbs not responding to recent rain, wide swale community between dune, previously had cattle and some ongoing signs including a browse line but there is some recruitment of smaller gidgee apparent since destocking in 2006, substrate mix of sand and stony gravel and clay areras and evidence of standing water.

-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
Revisit-no change 
-------------- new visit physicalStatusComments end ---------------
Grazing effect is low- some camel tracks within the plot though historically heavier. Cattle removed in 2004. Introduced plant effect- none noted. Very long unburnt. Homogeneity: Community is in a swale between north westerly trending dunes. Continues 100m to the north west and south east.","NA","NA",NA,56920,"2014-05-07T00:00:00","2014-05-07T00:00:00","","Cravens Peak Reserve. 50km north west of Carlo Homestead","n/a","X","n/a","Z",6,"0","DRY","BurntR",1,2,1,216152,7427581,54,"WGS84","GPS","P",NA,TRUE,TRUE,TRUE,-23.2366333333333,138.226080555556,"SW","QLD",138.226145139905,-23.2365554251646
"185","QDASSD0011-58690","QDASSD0011","2014-05-07T00:00:00","Gidgee Swale","SSD","DUN","SWL","0",NA,"-------------- new visit physicalStatusComments start --------------
Revisit-no change
Grazing effect is low- some camel tracks within the plot though historically heavier. Cattle removed in 2004. Introduced plant effect- none noted. Very long unburnt. Homogeneity: Community is in a swale between north westerly trending dunes. Continues 100m to the north west and south east.

Ausplot 11 22/6/2021 D1
Gidgee open woodland,, understorey mixed chenopods of schleroleanas, some grasses but have hayed off, dominants gidgee, schleoleana, mairenana, dry tussocks and forbs not responding to recent rain, wide swale community between dune, previously had cattle and some ongoing signs including a browse line but there is some recruitment of smaller gidgee apparent since destocking in 2006, substrate mix of sand and stony gravel and clay areras and evidence of standing water.

-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
Revisit-no change 
-------------- new visit physicalStatusComments end ---------------
Grazing effect is low- some camel tracks within the plot though historically heavier. Cattle removed in 2004. Introduced plant effect- none noted. Very long unburnt. Homogeneity: Community is in a swale between north westerly trending dunes. Continues 100m to the north west and south east.","NA","NA",NA,58690,"2018-06-22T14:42:00","2018-06-22T14:42:00","Revisit undertaken by the Desert Ecology Research Group - University of Sydney, NSW.2018","Cravens peak reserve. 50km north west of Carlo homestead

","NC","NC","NC","NC",7,"NC","DRY","DRY",41,13,41,NA,NA,NA,NA,NA,"NC","NC",TRUE,TRUE,TRUE,-23.2366333333333,138.226080555556,"SW","QLD",NA,NA
"186","QDASSD0006-57626","QDASSD0006","2014-05-03T00:00:00","Spinifex dune","SSD","DUN","DUC","4","75","-------------- new visit physicalStatusComments start --------------
 
Site is on a dune crest above a flood out on the Field River. Flat through the south west of site. Towards the south east slopes to 4 degrees but vegetation the same. Fire: Site burnt 2001 so quite a lot of burnt litter still in the site. No introduced plants noted. Grazing effect minimal- some camels but effect low. Homogeneity: Dune crest continues 30m to the south east. To the north west it drops off onto dune slope. To the south west community continues another 50m

Ausplot 6 28/6/2021 D8
Spinifex dominant grassland, advanced post fire regrowth stage, evidence of ring structure , long unburnt, scattered individuals of G.stenobotyra and A.ligulata.  Plot is skewed to the sand dunes
 

-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
revisit -no change
-------------- new visit physicalStatusComments end ---------------
Site is on a dune crest above a flood out on the Field River. Flat through the south west of site. Towards the south east slopes to 4 degrees but vegetation the same. Fire: Site burnt 2001 so quite a lot of burnt litter still in the site. No introduced plants noted. Grazing effect minimal- some camels but effect low. Homogeneity: Dune crest continues 30m to the south east. To the north west it drops off onto dune slope. To the south west community continues another 50m","NA","NC","100m x 100m.",57626,"2015-04-18T00:00:00","2015-04-18T00:00:00","Revisit undertaken by the Desert Ecology Research Group - University of Sydney, NSW.","NC","NC","NC","NC","NC",7,"NC","NC","NC",23,13,23,NA,NA,NA,NA,NA,"NC","NC",TRUE,TRUE,TRUE,-23.8795416666667,138.098419444444,"SW","QLD",NA,NA
